문의번호,접수일시,접수월,접수요일,접수시간대,지역,문의채널,문의유형,우선순위,처리상태,처리담당자,처리시간(분),고객만족도,SLA준수
INQ-20241398,2024-01-01 09:37,2024-01,월,09시,부산,전화,계정문의,보통,처리완료,이재원,28.0,4.0,Y
INQ-20243006,2024-01-01 10:29,2024-01,월,10시,전북,채팅,반품/교환,보통,처리완료,윤지아,14.0,3.0,Y
INQ-20243063,2024-01-01 11:19,2024-01,월,11시,경기,전화,결제문의,낮음,처리완료,정다은,12.0,5.0,Y
INQ-20241986,2024-01-01 12:43,2024-01,월,12시,서울,카카오톡,배송문의,보통,처리완료,장현석,30.0,3.0,N
INQ-20243394,2024-01-01 20:48,2024-01,월,20시,서울,이메일,결제문의,보통,처리완료,이재원,10.0,3.0,Y
INQ-20243333,2024-01-02 00:58,2024-01,화,00시,경북,전화,서비스불만,높음,처리완료,한승호,1.0,4.0,Y
INQ-20242145,2024-01-02 02:05,2024-01,화,02시,서울,전화,계정문의,보통,처리완료,윤지아,29.0,4.0,Y
INQ-20241371,2024-01-02 02:35,2024-01,화,02시,전남,이메일,배송문의,낮음,처리완료,정다은,22.0,4.0,N
INQ-20240571,2024-01-02 05:58,2024-01,화,05시,충남,카카오톡,상품문의,보통,처리완료,한승호,3.0,5.0,Y
INQ-20240429,2024-01-02 07:23,2024-01,화,07시,부산,전화,반품/교환,높음,처리완료,윤지아,36.0,5.0,Y
INQ-20244371,2024-01-02 07:51,2024-01,화,07시,전남,채팅,반품/교환,낮음,처리완료,정다은,60.0,5.0,Y
INQ-20244535,2024-01-02 09:24,2024-01,화,09시,대구,전화,결제문의,보통,처리완료,윤지아,23.0,3.0,Y
INQ-20242053,2024-01-02 10:31,2024-01,화,10시,경기,이메일,배송문의,보통,처리중,윤지아,,,미결
INQ-20240395,2024-01-02 10:33,2024-01,화,10시,부산,채팅,반품/교환,보통,처리중,최현우,,,미결
INQ-20242591,2024-01-02 11:20,2024-01,화,11시,경기,채팅,계정문의,보통,처리완료,정다은,19.0,2.0,Y
INQ-20240202,2024-01-02 12:20,2024-01,화,12시,부산,채팅,배송문의,보통,처리완료,이재원,9.0,5.0,Y
INQ-20241133,2024-01-02 12:35,2024-01,화,12시,경남,전화,상품문의,보통,처리완료,정다은,12.0,3.0,Y
INQ-20242376,2024-01-02 12:42,2024-01,화,12시,경북,카카오톡,결제문의,보통,처리완료,정다은,29.0,4.0,Y
INQ-20240425,2024-01-02 16:25,2024-01,화,16시,서울,카카오톡,서비스불만,낮음,처리완료,김민지,50.0,3.0,Y
INQ-20244182,2024-01-02 20:27,2024-01,화,20시,경기,이메일,결제문의,보통,처리완료,이재원,26.0,4.0,Y
INQ-20241984,2024-01-02 21:28,2024-01,화,21시,광주,이메일,배송문의,낮음,처리완료,한승호,4.0,5.0,Y
INQ-20242366,2024-01-02 21:55,2024-01,화,21시,서울,전화,상품문의,보통,처리완료,이재원,5.0,4.0,Y
INQ-20240031,2024-01-02 22:40,2024-01,화,22시,대전,앱,배송문의,보통,처리중,윤지아,,,미결
INQ-20242966,2024-01-02 23:08,2024-01,화,23시,전북,이메일,결제문의,보통,처리완료,윤지아,23.0,4.0,Y
